POSITION_CODE,POSITION_EN,POSITION_DE,POSITION_FR,POSITION_JA,POSITION_AR,POSITION_CS,POSITION_DA,POSITION_EL,POSITION_ES,POSITION_FI,POSITION_HR,POSITION_HU,POSITION_ID,POSITION_IT,POSITION_KK,POSITION_KO,POSITION_MS,POSITION_NL,POSITION_NO,POSITION_PL,POSITION_PT,POSITION_RO,POSITION_RU,POSITION_SC,POSITION_SL,POSITION_SV,POSITION_TC,POSITION_TH,POSITION_TR
3800,Human Resources Administrator,Personaladministrator,Administrateur des ressources humaines,人事管理者,اداري الموارد البشرية,Administrátor personalistiky,Personaleadministrator,Διαχειριστής ανθρωπίνων πόρων,Administrador de recursos humanos,Henkilöstöjohtaja,Administrator ljudskih resursa,Személyzeti adminisztrátor,Administrator Sumber Daya Manusia,Amministratore Risorse Umane,Адами ресурстардың әкімшілігі,인사 관리자,Pentadbir Sumber Manusia,Administrateur Personeelszaken,HR-administrator,Administrator Zarządzania Kadrami,Administrador de recursos humanos,Administrator Resurse umane,Администратор по кадрам,人力资源主管,Administrator kadrovske službe,Personaladministratör,人力資源管理者,เจ้าหน้าที่บริหารงานทรัพยากรบุคคล,İnsan Kaynakları Yöneticisi
4100,Marketing Manager,Marketingmanager,Directeur du marketing,マーケティング責任者,مدير التسويق,Marketingový manažer,Marketingchef,Διευθυντής Μάρκετινγκ,Director de marketing,Markkinointipäällikkö,Upravitelj marketinga,Marketing vezető,Manajer Pemasaran,Responsabile marketing,Маркетинг менеджері,마케팅 관리자,Pengurus Pemasaran,Marketing manager,Markedsføringssjef,Kierownik ds. Marketingu,Gerente de marketing,Manager de Marketing,Менеджер по маркетингу,市场经理,Vodja trženja,Marknadsföringschef,行銷經理,ผู้จัดการฝ่ายการตลาด,Pazarlama Müdürü
4300,Product Manager,Produktmanager,Chef de produit,製品責任者,مدير المنتج,Produktový manažer,Produktchef,Υπεύθυνος προϊόντος,Director de producto,Tuotepäällikkö,Upravitelj proizvoda,Termékmenedzser,Manajer Produk,Responsabile prodotto,Өндіріс менеджері,제품 관리자,Pengurus Keluaran,Productmanager,Produktsjef,Menedżer produktu,Gerente de produto,Manager de produs,Менеджер по продукции,产品经理,Vodja izdelkov,Produktchef,產品經理,ผู้จัดการผลิตภัณฑ์,Ürün Yöneticisi
4400,Product Technician,Produkttechniker,Technicien de produit,製品技術者,الفني الخاص بالمنتج,Produktový technik,Produkttekniker,Τεχνικός προϊόντος,Técnico de producto,Tuoteteknikko,Tehničar proizvoda,Terméktechnikus,Teknisi Produk,Tecnico prodotto,Өндіріс технигі,제품 기술자,Juruteknik Keluaran,Producttechnicus,Produkttekniker,Technik ds. Produktu,Técnico de produto,Tehnician de produs,Технический специалист по продукции,产品技术员,Tehnik izdelkov,Produkttekniker,產品技術人員,เจ้าหน้าที่เทคนิคผลิตภัณฑ์,Ürün Teknisyeni
4600,Franchise Distribution Manager,Franchise-Manager,Franchise - Directeur de l'entreposage,フランチャイズ販売責任者,مدير توزيع الامتياز,Manažer udělování franšíz,Franchise distributionschef,Διευθυντής Διανομής Franchise,Director de distribución de franquicias,Toimilupapäällikkö,Upravitelj distribucije koncesija,Koncesszió elosztási vezető,Manajer Distribusi Franchise,Responsabile distribuzione in franchising,Франчайз сатылымының менеджері,독점 영업권 유통 관리자,Pengurus Pengedaan Francais,Franchise-distributiemanager,Franchise-distribusjonssjef,Kierownik ds. dystrybucji na podstawie umów franszyzy,Gerente de distribuição de franquias,Manager Distribuţie Franciză,Менеджер по распространению через франчайзинг,特许分销经理,Vodja franšizne distribucije,"Distributionschef, Franchise",分銷特許經理,ผู้จัดการฝ่ายจำหน่ายแฟรนไชส์,Acentelik Dağıtım Müdürü
4900,Customer Service Manager,Kundendienstmanager,Directeur du service à la clientèle,顧客サービス責任者,مدير خدمة العملاء,Manažer služeb zákazníkům,Kundeservicechef,Διευθυντής εξυπηρέτησης πελατών,Director de servicio al cliente,Asiakaspalvelupäällikkö,Upravitelj korisničkih usluga,Ügyfélszolgálati vezető,Manajer Layanan Pelanggan,Responsabile servizio clienti,Тұтынушы қызметінің менеджері,고객 서비스 관리자,Pengurus Perkhidmatan Pelanggan,Manager Klantenservice,Kundestøttesjef,Kierownik działu obsługi klienta,Gerente de serviços ao consumidor,Manager servicii clienţi,Менеджер службы работы с покупателями,客户服务经理,Vodja službe za stranke,Kundtjänstchef,客戶服務經理,ผู้จัดการฝ่ายบริการลูกค้า,Müşteri Hizmetleri Müdürü
5000,Customer Service Coordinator,Kundendienstkoordinator,Coordonnateur du service à la clientèle,顧客サービス コーディネータ,منسق خدمة العملاء,Koordinátor služeb zákazníkům,Kundeservicekoordinator,Συντονιστής εξυπηρέτησης πελατών,Coordinador de servicio al cliente,Asiakaspalvelukoordinaattori,Koordinator korisničkih usluga,Ügyfélszolgálati koordinátor,Kordinator Layanan Pelanggan,Coordinatore servizio clienti,Тұтынушы қызметінің координаторы,고객 서비스 코디네이터,Koordinator Perkhidmatan Pelanggan,Coördinator Klantenservice,Kundestøttekoordinator,Koordynator działu obsługi klienta,Coordenador de serviços ao consumidor,Coordonator servicii clienţi,Координатор службы работы с покупателями,客户服务协调员,Koordinator službe za stranke,Kundtjänstkoordinator,客戶服務協調員,เจ้าหน้าที่ประสานงานฝ่ายบริการลูกค้า,Müşteri Hizmetleri Koordinatörü
5100,Customer Service Representative,Kundendienstbeauftragter,Représentant du service à la clientèle,顧客サービス担当者,ممثل خدمة العملاء,Zástupce služeb zákazníkům,Kundeservicerepræsentant,Εκπρόσωπος εξυπηρέτησης πελατών,Representante de servicio al cliente,Asiakaspalveluvastaava,Predstavnik korisničkih usluga,Ügyfélszolgálati képviselő,Perwakilan Layanan Pelanggan,Rappresentante servizio clienti,Тұтынушы қызметінің өкілі,고객 서비스 직원,Wakil Perkhidmatan Pelanggan,Vertegenwoordiger Klantenservice,Kundestøttemedarbeider,Przedstawiciel działu obsługi klienta,Representante de serviços ao consumidor,Reprezentativ servicii clienţi,Представитель службы работы с покупателями,客户服务代表,Predstavnik službe za stranke,Kundtjänstrepresentant,客戶服務代表,ตัวแทนฝ่ายบริการลูกค้า,Müşteri Hizmetleri Temsilcisi
5400,Branch Sales Manager,Zweigstellen-Verkaufsmanager,Directeur de succursale,支店販売責任者,مدير مبيعات الفرع,Pobočkový manažer prodeje,Afdelingssalgschef,Διευθυντής πωλήσεων υποκαταστημάτων,Director de ventas de sucursal,Haarapaikan myyntipäällikkö,Upravitelj prodaje podružnice,Értékesítési részlegvezető,Manajer Penjualan Cabang,Responsabile commerciale di filiale,Бөлім сатылымдарының менеджері,지점 영업 관리자,Pengurus Jualan Cawangan,Manager verkoopkantoor,Filial salgssjef,Kierownik oddziału sprzedaży,Gerente de unidade de vendas,Manager Vânzări Filială,Коммерческий директор филиала,分部销售经理,Vodja podružnične prodaje,Försäljningschef för avdelning,分店銷售經理,ผู้จัดการฝ่ายขายประจำสาขา,Şube Satış Müdürü
5600,Level 2 Sales Representative,"Vertriebsbeauftragter, Ebene 2","Représentant, échelon 2",営業担当 レベル2,ممثل المبيعات من المستوى 2,Obchodní zástupce (úroveň 2),"Salgsrepræsentant, niveau 2",Αντιπρόσωπος Πωλήσεων Επιπέδου 2,Representante de ventas de nivel 2,"Myyntiedustaja, taso 2",Predstavnik prodaje druge razine,2. szintű értékesítési munkatárs,Perwakilan Penjualan Level 2,Agente di vendita di secondo livello,2-ші саудалық өкiл деңгейі,2급 판매원,Wakil Jualan Tingkat 2,Vertegenwoordiger 2e klasse,Salgsrepresentant (nivå 2),Przedstawiciel handlowy 2. poziomu,Representante de vendas nível 2,Reprezentant de vânzări nivel 2,Торговый представитель 2-го уровня,二级销售代表,Prodajni predstavnik 2. ravni,Säljare - nivå 2,第二階業務員,พนักงานขายระดับ 2,2. Düzey Satış Temsilcisi
5800,Warehouse Assistant Manager,Lager - stellvertretender Manager,Directeur adjoint de l'entrepôt,倉庫責任者代理,مساعد مدير المستودع,Manažer skladových asistentů,Lagerchefassistent,Βοηθός διευθυντή αποθήκης,Director adjunto de almacén,Varaston apulaispäällikkö,Pomoćnik upravitelja skladišta,Raktárvezető-helyettes,Asisten Manajer Gudang,Vice responsabile magazzino,Қойма көмекшісінің менеджері,저장고 보조 관리자,Pembantu Pengurus Gudang,Assistent-manager Groothandel,Assistentsjef lager,Zastępca Kierownika magazynu,Gerente assistente de almoxarifado,Asistent Manager Depozit,Помощник управляющего складским хозяйством,仓库助理经理,Pomočnik vodje skladišča,Assisterande lagerchef,倉庫助理經理,ผู้ช่วยผู้จัดการคลังสินค้า,Depo Müdürü Yardımcısı
1000,Chief Executive Officer,Chief Executive Officer,Chef de la direction,最高経営責任者,المدير التنفيذي,Generální ředitel,Administrerende direktør,Διευθύνων Σύμβουλος,Director general,Toimitusjohtaja,Glavni izvršni službenik,Vezérigazgató,Chief Executive Officer,Chief Executive Officer,Бас атқарушы директор,최고 경영 책임자,Pegawai Ketua Eksekutif,Algemeen directeur,CEO (Chief Executive Officer),Dyrektor Generalny,Presidente,Director General,Генеральный директор,首席执行官,Izvršni direktor,Operativ chef,首席執行長,หัวหน้าคณะผู้บริหารระดับสูง,Üst Düzey Yönetici
1200,Executive Vice-President,Executive Vice-President,Vice-président directeur,上級副社長,نائب الرئيس التنفيذي,Výkonný viceprezident,Ledende vicepræsident,Αντιπρόεδρος,Vicepresidente ejecutivo,Varatoimitusjohtaja,Izvršni potpredsjednik,Ügyvezető elnökhelyettes,Wakil Presiden Eksekutif,Vicepresidente esecutivo,Атқарушы вице-президент,부사장,Eksekutif Naib Presiden,Vicedirecteur,Executive Vice-President,Wiceprezes,Vice-presidente executivo,Vice-Preşedinte Executiv,Исполнительный вице-президент,执行副总裁,Namestnik generalnega direktorja,Vice VD,執行副總裁,รองประธานบริหาร,Üst Düzey Yönetici Yardımcısı
1300,Controller,Controller,Contrôleur,会計監査役,وحدة التحكم,Controller,Kontroller,Ελεγκτής,Controlador,Laskentajohtaja,Kontrolor,Kontroller,Kontroler,Controller,Басқылаушы,경리부장,Kawalan,Controller,Controller,Kontroler,Controller,Inspector,Финансовый директор,主管,Nadzornik,Controller,主管,เจ้าหน้าที่ควบคุมการเงิน,Denetmen
1400,Vice-President of Information Technology,Vice-President Informationstechnologie,Vice-président des technologies de l'information,情報技術担当副社長,نائب الرئيس لتكنولوجيا المعلومات,Viceprezident pro informační technologie,Vicepræsident for informationsteknologi,Αντιπρόεδρος των Τεχνολογιών της Πληροφορίας,Vicepresidente de tecnologías de la información,IT-varapäällikkö,Potpredsjednik informatičkih tehnologija,Informatikai elnökhelyettes,Wakil Presiden Teknologi Informasi,Vicepresidente di Tecnologie informatiche,Ақпарат технологиясының вице-президенті,IT 부사장,Naib Presiden Teknologi Maklumat,Vicedirecteur Informatietechnologie,Vice-President for informasjonsteknologi,Wiceprezes ds. IT,Vice-presidente de tecnologia da informação,Vice-Preşedinte pentru Tehnologia Informaţiei,Вице-президент по информационно-технологическим вопросам,信息技术副总裁,Namestnik direktorja informacijske tehnologije,Vice VD för IT,資訊科技副總裁,รองประธานฝ่ายเทคโนโลยีสารสนเทศ,Bilgi Teknolojilerinden Sorumlu Müdür Yardımcısı
1600,Vice-President of Marketing,Vice-President Marketing,Vice-président du marketing,マーケティング担当副社長,نائب الرئيس للتسويق,Viceprezident pro marketing,Vicepræsident for marketing,Αντιπρόεδρος Μάρκετινγκ,Vicepresidente de marketing,Varamarkkinointipäällikkö,Potpredsjednik marketinga,Marketing elnökhelyettes,Wakil Presiden Pemasaran,Vicepresidente di Marketing,Маркетинг вице-президенті,마케팅 부사장,Naib Presiden Pemasaran,Vicedirecteur Marketing,Vice-President for markedsføring,Wiceprezes ds. Marketingu,Vice-presidente de marketing,Vice-Preşedinte pentru Marketing,Вице-президент по маркетингу,市场副总裁,Namestnik direktorja trženja,Vice VD för marknadsföring,行銷副總裁,รองประธานฝ่ายการตลาด,Pazarlamadan Sorumlu Müdür Yardımcısı
1800,General Manager of Operations,General Manager of Operations,Directeur général des opérations,業務担当統括責任者,المدير العام للعمليات,Operační ředitel,Administrerende driftschef,Γενικός Διευθυντής των Επιχειρήσεων,Director general de operaciones,Toiminnanjohtaja,Glavni upravitelj operacija,Műveleti igazgató,Manajer Umum Operasi,Direttore generale di Operazioni,Әрекеттердің жалпы менеджері,경영본부장,Pengurus Am Operasi,Algemeen directeur Operations,Driftsdirektør,Dyrektor Generalny ds. działalności operacyjnej,Gerente geral de operações,Manager General Operaţiuni,Главный управляющий по оперативным вопросам,运营总经理,Generalni direktor operacij,Operativ chef,運營總經理,ผู้จัดการทั่วไปฝ่ายปฏิบัติงาน,Operasyonlar Genel Müdürü
2000,Financial Analyst,Finanzanalyst,Analyste financier,財務アナリスト,محلل مالي,Finanční analytik,Finansanalytiker,Οικονομικός αναλυτής,Analista financiero,Rahoitusanalyytikko,Financijski analitičar,Pénzügyi elemző,Analis Keuangan,Analista finanziario,Қаржы талдаушысы,재무 분석가,Penganalisis Kewangan,Financieel analist,Finansanalytiker,Analityk finansowy,Analista financeiro,Analist financiar,Финансовый аналитик,财务分析师,Finančni analitik,Finansanalytiker,財務分析師,นักวิเคราะห์การเงิน,Finans Analisti
2200,Payroll Clerk,Lohn- und Gehaltssachbearbeiter,Commis au service de la paie,給与担当者,كاتب الرواتب,Mzdový asistent,Lønningsbogholder,Υπάλληλος μισθοδοσίας,Responsable de nóminas,Palkanlaskentatoimihenkilö,Službenik isplate plaća,Bérelszámoló,Juru Tulis Penggajian,Addetto paghe e contributi,Қызметкердiң еңбекақысы,급여 담당자,Kerani senarai gaji,Boekhouder,Lønnsmedarbeider,Specjalista ds. Płac,Auxiliar de folha de pagamento,Funcţionar salarizare,Служащий по учету зарплаты,薪资专员,Knjigovodja plač,Lönekontorist,薪資專員,เจ้าหน้าที่ส่วนเงินเดือนพนักงาน,Ücret Sorumlusu
2400,Accountant 1,Buchhalter 1,Comptable 1,会計士 1,المحاسب 1,Účetní 1,Bogholder 1,Λογιστής 1,Contable 1,Kirjanpitäjä 1,Knjigovođa 1,1. könyvelő,Akuntan 1,Impiegato amministrativo 1,Бухгалтер 1,회계사 1,Akauntan 1,Accountant 1,Regnskapsfører 1,Księgowy 1,Contador 1,Contabil 1,Бухгалтер 1,会计 1,Računovodja 1,Revisor 1,會計員 1,นักบัญชี 1,Muhasebeci 1
2500,Accountant 2,Buchhalter 2,Comptable 2,会計士 2,المحاسب 2,Účetní 2,Bogholder 2,Λογιστής 2,Contable 2,Kirjanpitäjä 2,Knjigovođa 2,2. könyvelő,Akuntan 2,Impiegato amministrativo 2,Бухгалтер 2,회계사 2,Akauntan 2,Accountant 2,Regnskapsfører 2,Księgowy 2,Contador 2,Contabil 2,Бухгалтер 2,会计 2,Računovodja 2,Revisor 2,會計員 2,นักบัญชี 2,Muhasebeci 2
3200,System Analyst,Systemanalyst,Analyste système,システム アナリスト,محلل النظام,Systémový analytik,Systemanalytiker,Αναλυτής συστημάτων,Analista de sistemas,Järjestelmäanalyytikko,Sistemski analitičar,Rendszerelemző,Analis Sistem,Analista sistemi informatici,Жүйе талдаушысы,시스템 분석가,Penganalisis Sistem,Systeemanalist,Systemanalytiker,Analityk systemowy,Analista de sistemas,Analist de sistem,Системный аналитик,系统分析师,Sistemski analitik,Systemanalytiker,系統分析師,นักวิเคราะห์ระบบ,Sistem Analisti
3400,Computer Operator,Datenverarbeiter,Opérateur d'ordinateur,コンピュータ オペレータ,مشغل الحاسب,Počítačový operátor,Computeroperatør,Χειριστής υπολογιστών,Informático,Tietokoneasiantuntija,Računalni operater,Számítógépkezelő,Operator Komputer,Operatore computer,Компьютер операторы,컴퓨터 운영자,Operator Komputer,Computeroperator,Datamaskinoperatør,Osoba obsługująca komputer,Operador de computador,Operator computer,Оператор вычислительной машины,计算机操作员,Računalniški operater,Datoroperatör,電腦操作員,เจ้าหน้าที่คอมพิวเตอร์,Bilgisayar İşletmeni
3500,Procurement Manager,Manager Einkauf,Directeur de l'approvisionnement,調達責任者,مدير المشتريات,Manažer nákupu,Indkøbschef,Διευθυντής Προμηθειών,Director de compras,Hankintapäällikkö,Upravitelj nabave,Beszerzési vezető,Manajer Pengadaan,Responsabile acquisti,Сатып алуларға арналған басқарушы,조달 관리자,Pengurus Pemerolehan,Manager Inkoop,Innkjøpssjef,Kierownik ds. Zaopatrzenia,Gerente de compras,Manager achiziţii,Руководитель службы материально-технического снабжения,采购经理,Nabavni direktor,Upphandlingschef,採購經理,ผู้จัดการฝ่ายจัดซื้อ,Tedarik Yöneticisi
3700,Procurement Clerk,Sachbearbeiter Einkauf,Commis de l'approvisionnement,調達担当者,كاتب المشتريات,Asistent nákupu,Indkøbsassistent,Υπάλληλος Προμηθειών,Auxiliar de compras,Hankintatoimihenkilö,Službenik nabave,Beszerzési munkatárs,Juru Tulis Pengadaan,Addetto acquisti,Қызметкерлердің сатып алуы,조달 직원,Kerani Pemerolehan,Assistent Inkoop,Innkjøpsmedarbeider,Specjalista ds. Zaopatrzenia,Auxiliar de compras,Funcţionar achiziţii,Делопроизводитель по материальному снабжению,采购人员,Knjigovodja nabave,Upphandlingsassistent,採購人員,เจ้าหน้าที่ฝ่ายจัดซื้อ,Tedarik Memuru
4000,Human Resources Clerk,Personalsachbearbeiter,Commis des ressources humaines,人事担当者,كاتب الموارد البشرية,Asistent personalistiky,Personaleassistent,Υπάλληλος ανθρωπίνων πόρων,Auxiliar de recursos humanos,Henkilöstöhallinnon toimihenkilö,Službenik ljudskih resursa,Személyzeti munkatárs,Juru Tulis Sumber Daya Manusia,Addetto Risorse umane,Адами ресурстардың қызметкерлері,인사 직원,Kerani Sumber Manusia,Assistent Personeelszaken,HR-medarbeider,Specjalista ds. HR,Auxiliar de recursos humanos,Funcţionar resurse umane,Служащий по кадрам,人力资源部职员,Knjigovodja kadrovske službe,Personalassistent,人力資源職員,เจ้าหน้าที่ฝ่ายทรัพยากรบุคคล,İnsan Kaynakları Sorumlusu
4200,Marketing Specialist,Marketingspezialist,Spécialiste du marketing,マーケティング専門家,أخصائي تسويق,Marketingový specialista,Marketingspecialist,Ειδικός Μάρκετινγκ,Especialista en marketing,Markkinointiasiantuntija,Stručnjak za marketing,Marketing szakértő,Spesialis Pemasaran,Specialista marketing,Маркетинг мамандары,마케팅 전문가,Pakar Pemasaran,Marketing specialist,Markedsføringsspesialist,Specjalista ds. Marketingu,Especialista em marketing,Specialist în marketing,Маркетолог,市场专员,Specialist trženja,Marknadsföringsspecialist,行銷專員,ผู้เชี่ยวชาญด้านการตลาด,Pazarlama Uzmanı
4500,Regional Manager,Regionalleiter,Directeur régional,地域担当責任者,المدير الاقليمي,Regionální ředitel,Regionschef,Υποδιευθυντής,Director regional,Aluejohtaja,Regionalni upravitelj,Területi menedzser,Manajer Regional,Responsabile di filiale,Аймақтық басқарушы,지역 관리자,Pengurus Wilayah,Regionaal directeur,Regionssjef,Dyrektor regionalny,Gerente regional,Manager regional,Менеджер peгиoнa,区域经理,Področni vodja,Regionschef,副總經理,ผู้จัดการระดับภูมิภาค,Bölge Müdürü
4700,Warehouse Manager,Lagermanager,Directeur de l'entreposage,倉庫責任者,مدير المستودع,Manažer skladu,Lagerchef,Διευθυντής Αποθήκης,Director de almacén,Varastopäällikkö,Upravitelj skladišta,Raktárvezető,Manajer Gudang,Direttore magazzino,Қойма менеджері,저장고 관리자,Pengurus Gedung,Groothandel manager,Lagersjef,Kierownik magazynu,Gerente de almoxarifado,Manager depozit,Менеджер хранилища,仓库经理,Vodja skladišča,Lagerchef,倉庫經理,ผู้จัดการคลังสินค้า,Depo Müdürü
4800,Warehouse Worker,Lagerarbeiter,Travailleur d'entrepôt,倉庫作業者,عامل المستودع,Pracovník skladu,Lagermedarbejder,Εργάτης Αποθήκης,Trabajador de almacén,Varastotyöntekijä,Radnik u skladištu,Raktári dolgozó,Pekerja Gudang,Addetto magazzino,Қойма жұмысшысы,저장고 근무자,Pekerja Gedung,Groothandelmedewerker,Lagermedarbeider,Pracownik magazynu,Almoxarife,Lucrător depozit,Рабочий на складе,仓库工人,Delavec v skladišču,Lagerarbetare,倉庫工人,พนักงานคลังสินค้า,Depo Çalışanı
